,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive
444,1,3,male,,0,0,8.1125,S,Third,man,True,yes
445,1,1,male,4.0,0,2,81.8583,S,First,child,False,yes
446,1,2,female,13.0,0,1,19.5,S,Second,child,False,yes
447,1,1,male,34.0,0,0,26.55,S,First,man,True,yes
448,1,3,female,5.0,2,1,19.2583,C,Third,child,False,yes
449,1,1,male,52.0,0,0,30.5,S,First,man,True,yes
450,0,2,male,36.0,1,2,27.75,S,Second,man,True,no
451,0,3,male,,1,0,19.9667,S,Third,man,True,no
452,0,1,male,30.0,0,0,27.75,C,First,man,True,no
453,1,1,male,49.0,1,0,89.1042,C,First,man,True,yes
454,0,3,male,,0,0,8.05,S,Third,man,True,no
455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,yes
456,0,1,male,65.0,0,0,26.55,S,First,man,True,no
457,1,1,female,,1,0,51.8625,S,First,woman,False,yes
458,1,2,female,50.0,0,0,10.5,S,Second,woman,False,yes
459,0,3,male,,0,0,7.75,Q,Third,man,True,no
460,1,1,male,48.0,0,0,26.55,S,First,man,True,yes
461,0,3,male,34.0,0,0,8.05,S,Third,man,True,no
462,0,1,male,47.0,0,0,38.5,S,First,man,True,no
463,0,2,male,48.0,0,0,13.0,S,Second,man,True,no
464,0,3,male,,0,0,8.05,S,Third,man,True,no
465,0,3,male,38.0,0,0,7.05,S,Third,man,True,no
466,0,2,male,,0,0,0.0,S,Second,man,True,no
467,0,1,male,56.0,0,0,26.55,S,First,man,True,no
468,0,3,male,,0,0,7.725,Q,Third,man,True,no
469,1,3,female,0.75,2,1,19.2583,C,Third,child,False,yes
470,0,3,male,,0,0,7.25,S,Third,man,True,no
471,0,3,male,38.0,0,0,8.6625,S,Third,man,True,no
472,1,2,female,33.0,1,2,27.75,S,Second,woman,False,yes
473,1,2,female,23.0,0,0,13.7917,C,Second,woman,False,yes
474,0,3,female,22.0,0,0,9.8375,S,Third,woman,False,no
475,0,1,male,,0,0,52.0,S,First,man,True,no
476,0,2,male,34.0,1,0,21.0,S,Second,man,True,no
477,0,3,male,29.0,1,0,7.0458,S,Third,man,True,no
478,0,3,male,22.0,0,0,7.5208,S,Third,man,True,no
479,1,3,female,2.0,0,1,12.2875,S,Third,child,False,yes
480,0,3,male,9.0,5,2,46.9,S,Third,child,False,no
481,0,2,male,,0,0,0.0,S,Second,man,True,no
482,0,3,male,50.0,0,0,8.05,S,Third,man,True,no
483,1,3,female,63.0,0,0,9.5875,S,Third,woman,False,yes
484,1,1,male,25.0,1,0,91.0792,C,First,man,True,yes
485,0,3,female,,3,1,25.4667,S,Third,woman,False,no
486,1,1,female,35.0,1,0,90.0,S,First,woman,False,yes
487,0,1,male,58.0,0,0,29.7,C,First,man,True,no
488,0,3,male,30.0,0,0,8.05,S,Third,man,True,no
489,1,3,male,9.0,1,1,15.9,S,Third,child,False,yes
490,0,3,male,,1,0,19.9667,S,Third,man,True,no
491,0,3,male,21.0,0,0,7.25,S,Third,man,True,no
492,0,1,male,55.0,0,0,30.5,S,First,man,True,no
493,0,1,male,71.0,0,0,49.5042,C,First,man,True,no
494,0,3,male,21.0,0,0,8.05,S,Third,man,True,no
495,0,3,male,,0,0,14.4583,C,Third,man,True,no
496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,yes
497,0,3,male,,0,0,15.1,S,Third,man,True,no
498,0,1,female,25.0,1,2,151.55,S,First,woman,False,no
499,0,3,male,24.0,0,0,7.7958,S,Third,man,True,no
500,0,3,male,17.0,0,0,8.6625,S,Third,man,True,no
501,0,3,female,21.0,0,0,7.75,Q,Third,woman,False,no
502,0,3,female,,0,0,7.6292,Q,Third,woman,False,no
503,0,3,female,37.0,0,0,9.5875,S,Third,woman,False,no
504,1,1,female,16.0,0,0,86.5,S,First,woman,False,yes
505,0,1,male,18.0,1,0,108.9,C,First,man,True,no
506,1,2,female,33.0,0,2,26.0,S,Second,woman,False,yes
507,1,1,male,,0,0,26.55,S,First,man,True,yes
508,0,3,male,28.0,0,0,22.525,S,Third,man,True,no
509,1,3,male,26.0,0,0,56.4958,S,Third,man,True,yes
510,1,3,male,29.0,0,0,7.75,Q,Third,man,True,yes
511,0,3,male,,0,0,8.05,S,Third,man,True,no
512,1,1,male,36.0,0,0,26.2875,S,First,man,True,yes
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,yes
514,0,3,male,24.0,0,0,7.4958,S,Third,man,True,no
515,0,1,male,47.0,0,0,34.0208,S,First,man,True,no
516,1,2,female,34.0,0,0,10.5,S,Second,woman,False,yes
517,0,3,male,,0,0,24.15,Q,Third,man,True,no
518,1,2,female,36.0,1,0,26.0,S,Second,woman,False,yes
519,0,3,male,32.0,0,0,7.8958,S,Third,man,True,no
520,1,1,female,30.0,0,0,93.5,S,First,woman,False,yes
521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,no
522,0,3,male,,0,0,7.225,C,Third,man,True,no
523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,yes
524,0,3,male,,0,0,7.2292,C,Third,man,True,no
525,0,3,male,40.5,0,0,7.75,Q,Third,man,True,no
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,yes
527,0,1,male,,0,0,221.7792,S,First,man,True,no
528,0,3,male,39.0,0,0,7.925,S,Third,man,True,no
529,0,2,male,23.0,2,1,11.5,S,Second,man,True,no
530,1,2,female,2.0,1,1,26.0,S,Second,child,False,yes
531,0,3,male,,0,0,7.2292,C,Third,man,True,no
532,0,3,male,17.0,1,1,7.2292,C,Third,man,True,no
533,1,3,female,,0,2,22.3583,C,Third,woman,False,yes
534,0,3,female,30.0,0,0,8.6625,S,Third,woman,False,no
535,1,2,female,7.0,0,2,26.25,S,Second,child,False,yes
536,0,1,male,45.0,0,0,26.55,S,First,man,True,no
537,1,1,female,30.0,0,0,106.425,C,First,woman,False,yes
538,0,3,male,,0,0,14.5,S,Third,man,True,no
539,1,1,female,22.0,0,2,49.5,C,First,woman,False,yes
540,1,1,female,36.0,0,2,71.0,S,First,woman,False,yes
541,0,3,female,9.0,4,2,31.275,S,Third,child,False,no
542,0,3,female,11.0,4,2,31.275,S,Third,child,False,no
543,1,2,male,32.0,1,0,26.0,S,Second,man,True,yes
544,0,1,male,50.0,1,0,106.425,C,First,man,True,no
545,0,1,male,64.0,0,0,26.0,S,First,man,True,no
546,1,2,female,19.0,1,0,26.0,S,Second,woman,False,yes
547,1,2,male,,0,0,13.8625,C,Second,man,True,yes
548,0,3,male,33.0,1,1,20.525,S,Third,man,True,no
549,1,2,male,8.0,1,1,36.75,S,Second,child,False,yes
550,1,1,male,17.0,0,2,110.8833,C,First,man,True,yes
551,0,2,male,27.0,0,0,26.0,S,Second,man,True,no
552,0,3,male,,0,0,7.8292,Q,Third,man,True,no
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,yes
554,1,3,female,22.0,0,0,7.775,S,Third,woman,False,yes
555,0,1,male,62.0,0,0,26.55,S,First,man,True,no
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,yes
557,0,1,male,,0,0,227.525,C,First,man,True,no
558,1,1,female,39.0,1,1,79.65,S,First,woman,False,yes
559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,yes
560,0,3,male,,0,0,7.75,Q,Third,man,True,no
561,0,3,male,40.0,0,0,7.8958,S,Third,man,True,no
562,0,2,male,28.0,0,0,13.5,S,Second,man,True,no
563,0,3,male,,0,0,8.05,S,Third,man,True,no
564,0,3,female,,0,0,8.05,S,Third,woman,False,no
565,0,3,male,24.0,2,0,24.15,S,Third,man,True,no
566,0,3,male,19.0,0,0,7.8958,S,Third,man,True,no
567,0,3,female,29.0,0,4,21.075,S,Third,woman,False,no
568,0,3,male,,0,0,7.2292,C,Third,man,True,no
569,1,3,male,32.0,0,0,7.8542,S,Third,man,True,yes
570,1,2,male,62.0,0,0,10.5,S,Second,man,True,yes
571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,yes
572,1,1,male,36.0,0,0,26.3875,S,First,man,True,yes
573,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
574,0,3,male,16.0,0,0,8.05,S,Third,man,True,no
575,0,3,male,19.0,0,0,14.5,S,Third,man,True,no
576,1,2,female,34.0,0,0,13.0,S,Second,woman,False,yes
577,1,1,female,39.0,1,0,55.9,S,First,woman,False,yes
578,0,3,female,,1,0,14.4583,C,Third,woman,False,no
579,1,3,male,32.0,0,0,7.925,S,Third,man,True,yes
580,1,2,female,25.0,1,1,30.0,S,Second,woman,False,yes
581,1,1,female,39.0,1,1,110.8833,C,First,woman,False,yes
582,0,2,male,54.0,0,0,26.0,S,Second,man,True,no
583,0,1,male,36.0,0,0,40.125,C,First,man,True,no
584,0,3,male,,0,0,8.7125,C,Third,man,True,no
585,1,1,female,18.0,0,2,79.65,S,First,woman,False,yes
586,0,2,male,47.0,0,0,15.0,S,Second,man,True,no
587,1,1,male,60.0,1,1,79.2,C,First,man,True,yes
588,0,3,male,22.0,0,0,8.05,S,Third,man,True,no
589,0,3,male,,0,0,8.05,S,Third,man,True,no
590,0,3,male,35.0,0,0,7.125,S,Third,man,True,no
591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,yes
592,0,3,male,47.0,0,0,7.25,S,Third,man,True,no
593,0,3,female,,0,2,7.75,Q,Third,woman,False,no
594,0,2,male,37.0,1,0,26.0,S,Second,man,True,no
595,0,3,male,36.0,1,1,24.15,S,Third,man,True,no
596,1,2,female,,0,0,33.0,S,Second,woman,False,yes
597,0,3,male,49.0,0,0,0.0,S,Third,man,True,no
598,0,3,male,,0,0,7.225,C,Third,man,True,no
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,yes
600,1,2,female,24.0,2,1,27.0,S,Second,woman,False,yes
601,0,3,male,,0,0,7.8958,S,Third,man,True,no
602,0,1,male,,0,0,42.4,S,First,man,True,no
603,0,3,male,44.0,0,0,8.05,S,Third,man,True,no
604,1,1,male,35.0,0,0,26.55,C,First,man,True,yes
605,0,3,male,36.0,1,0,15.55,S,Third,man,True,no
606,0,3,male,30.0,0,0,7.8958,S,Third,man,True,no
607,1,1,male,27.0,0,0,30.5,S,First,man,True,yes
608,1,2,female,22.0,1,2,41.5792,C,Second,woman,False,yes
609,1,1,female,40.0,0,0,153.4625,S,First,woman,False,yes
610,0,3,female,39.0,1,5,31.275,S,Third,woman,False,no
611,0,3,male,,0,0,7.05,S,Third,man,True,no
612,1,3,female,,1,0,15.5,Q,Third,woman,False,yes
613,0,3,male,,0,0,7.75,Q,Third,man,True,no
614,0,3,male,35.0,0,0,8.05,S,Third,man,True,no
615,1,2,female,24.0,1,2,65.0,S,Second,woman,False,yes
616,0,3,male,34.0,1,1,14.4,S,Third,man,True,no
617,0,3,female,26.0,1,0,16.1,S,Third,woman,False,no
618,1,2,female,4.0,2,1,39.0,S,Second,child,False,yes
619,0,2,male,26.0,0,0,10.5,S,Second,man,True,no
620,0,3,male,27.0,1,0,14.4542,C,Third,man,True,no
621,1,1,male,42.0,1,0,52.5542,S,First,man,True,yes
622,1,3,male,20.0,1,1,15.7417,C,Third,man,True,yes
623,0,3,male,21.0,0,0,7.8542,S,Third,man,True,no
624,0,3,male,21.0,0,0,16.1,S,Third,man,True,no
625,0,1,male,61.0,0,0,32.3208,S,First,man,True,no
626,0,2,male,57.0,0,0,12.35,Q,Second,man,True,no
627,1,1,female,21.0,0,0,77.9583,S,First,woman,False,yes
628,0,3,male,26.0,0,0,7.8958,S,Third,man,True,no
629,0,3,male,,0,0,7.7333,Q,Third,man,True,no
630,1,1,male,80.0,0,0,30.0,S,First,man,True,yes
631,0,3,male,51.0,0,0,7.0542,S,Third,man,True,no
632,1,1,male,32.0,0,0,30.5,C,First,man,True,yes
633,0,1,male,,0,0,0.0,S,First,man,True,no
634,0,3,female,9.0,3,2,27.9,S,Third,child,False,no
635,1,2,female,28.0,0,0,13.0,S,Second,woman,False,yes
636,0,3,male,32.0,0,0,7.925,S,Third,man,True,no
637,0,2,male,31.0,1,1,26.25,S,Second,man,True,no
638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,no
639,0,3,male,,1,0,16.1,S,Third,man,True,no
640,0,3,male,20.0,0,0,7.8542,S,Third,man,True,no
641,1,1,female,24.0,0,0,69.3,C,First,woman,False,yes
642,0,3,female,2.0,3,2,27.9,S,Third,child,False,no
643,1,3,male,,0,0,56.4958,S,Third,man,True,yes
644,1,3,female,0.75,2,1,19.2583,C,Third,child,False,yes
645,1,1,male,48.0,1,0,76.7292,C,First,man,True,yes
646,0,3,male,19.0,0,0,7.8958,S,Third,man,True,no
647,1,1,male,56.0,0,0,35.5,C,First,man,True,yes
648,0,3,male,,0,0,7.55,S,Third,man,True,no
649,1,3,female,23.0,0,0,7.55,S,Third,woman,False,yes
650,0,3,male,,0,0,7.8958,S,Third,man,True,no
651,1,2,female,18.0,0,1,23.0,S,Second,woman,False,yes
652,0,3,male,21.0,0,0,8.4333,S,Third,man,True,no
653,1,3,female,,0,0,7.8292,Q,Third,woman,False,yes
654,0,3,female,18.0,0,0,6.75,Q,Third,woman,False,no
655,0,2,male,24.0,2,0,73.5,S,Second,man,True,no
656,0,3,male,,0,0,7.8958,S,Third,man,True,no
657,0,3,female,32.0,1,1,15.5,Q,Third,woman,False,no
658,0,2,male,23.0,0,0,13.0,S,Second,man,True,no
659,0,1,male,58.0,0,2,113.275,C,First,man,True,no
660,1,1,male,50.0,2,0,133.65,S,First,man,True,yes
661,0,3,male,40.0,0,0,7.225,C,Third,man,True,no
662,0,1,male,47.0,0,0,25.5875,S,First,man,True,no
663,0,3,male,36.0,0,0,7.4958,S,Third,man,True,no
664,1,3,male,20.0,1,0,7.925,S,Third,man,True,yes
665,0,2,male,32.0,2,0,73.5,S,Second,man,True,no
666,0,2,male,25.0,0,0,13.0,S,Second,man,True,no
667,0,3,male,,0,0,7.775,S,Third,man,True,no
668,0,3,male,43.0,0,0,8.05,S,Third,man,True,no
669,1,1,female,,1,0,52.0,S,First,woman,False,yes
670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,yes
671,0,1,male,31.0,1,0,52.0,S,First,man,True,no
672,0,2,male,70.0,0,0,10.5,S,Second,man,True,no
673,1,2,male,31.0,0,0,13.0,S,Second,man,True,yes
674,0,2,male,,0,0,0.0,S,Second,man,True,no
675,0,3,male,18.0,0,0,7.775,S,Third,man,True,no
676,0,3,male,24.5,0,0,8.05,S,Third,man,True,no
677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,yes
678,0,3,female,43.0,1,6,46.9,S,Third,woman,False,no
679,1,1,male,36.0,0,1,512.3292,C,First,man,True,yes
680,0,3,female,,0,0,8.1375,Q,Third,woman,False,no
681,1,1,male,27.0,0,0,76.7292,C,First,man,True,yes
682,0,3,male,20.0,0,0,9.225,S,Third,man,True,no
683,0,3,male,14.0,5,2,46.9,S,Third,child,False,no
684,0,2,male,60.0,1,1,39.0,S,Second,man,True,no
685,0,2,male,25.0,1,2,41.5792,C,Second,man,True,no
686,0,3,male,14.0,4,1,39.6875,S,Third,child,False,no
687,0,3,male,19.0,0,0,10.1708,S,Third,man,True,no
688,0,3,male,18.0,0,0,7.7958,S,Third,man,True,no
689,1,1,female,15.0,0,1,211.3375,S,First,child,False,yes
690,1,1,male,31.0,1,0,57.0,S,First,man,True,yes
691,1,3,female,4.0,0,1,13.4167,C,Third,child,False,yes
692,1,3,male,,0,0,56.4958,S,Third,man,True,yes
693,0,3,male,25.0,0,0,7.225,C,Third,man,True,no
694,0,1,male,60.0,0,0,26.55,S,First,man,True,no
695,0,2,male,52.0,0,0,13.5,S,Second,man,True,no
696,0,3,male,44.0,0,0,8.05,S,Third,man,True,no
697,1,3,female,,0,0,7.7333,Q,Third,woman,False,yes
698,0,1,male,49.0,1,1,110.8833,C,First,man,True,no
699,0,3,male,42.0,0,0,7.65,S,Third,man,True,no
700,1,1,female,18.0,1,0,227.525,C,First,woman,False,yes
701,1,1,male,35.0,0,0,26.2875,S,First,man,True,yes
702,0,3,female,18.0,0,1,14.4542,C,Third,woman,False,no
703,0,3,male,25.0,0,0,7.7417,Q,Third,man,True,no
704,0,3,male,26.0,1,0,7.8542,S,Third,man,True,no
705,0,2,male,39.0,0,0,26.0,S,Second,man,True,no
706,1,2,female,45.0,0,0,13.5,S,Second,woman,False,yes
707,1,1,male,42.0,0,0,26.2875,S,First,man,True,yes
708,1,1,female,22.0,0,0,151.55,S,First,woman,False,yes
709,1,3,male,,1,1,15.2458,C,Third,man,True,yes
710,1,1,female,24.0,0,0,49.5042,C,First,woman,False,yes
711,0,1,male,,0,0,26.55,S,First,man,True,no
712,1,1,male,48.0,1,0,52.0,S,First,man,True,yes
713,0,3,male,29.0,0,0,9.4833,S,Third,man,True,no
714,0,2,male,52.0,0,0,13.0,S,Second,man,True,no
715,0,3,male,19.0,0,0,7.65,S,Third,man,True,no
716,1,1,female,38.0,0,0,227.525,C,First,woman,False,yes
717,1,2,female,27.0,0,0,10.5,S,Second,woman,False,yes
718,0,3,male,,0,0,15.5,Q,Third,man,True,no
719,0,3,male,33.0,0,0,7.775,S,Third,man,True,no
720,1,2,female,6.0,0,1,33.0,S,Second,child,False,yes
721,0,3,male,17.0,1,0,7.0542,S,Third,man,True,no
722,0,2,male,34.0,0,0,13.0,S,Second,man,True,no
723,0,2,male,50.0,0,0,13.0,S,Second,man,True,no
724,1,1,male,27.0,1,0,53.1,S,First,man,True,yes
725,0,3,male,20.0,0,0,8.6625,S,Third,man,True,no
726,1,2,female,30.0,3,0,21.0,S,Second,woman,False,yes
727,1,3,female,,0,0,7.7375,Q,Third,woman,False,yes
728,0,2,male,25.0,1,0,26.0,S,Second,man,True,no
729,0,3,female,25.0,1,0,7.925,S,Third,woman,False,no
730,1,1,female,29.0,0,0,211.3375,S,First,woman,False,yes
731,0,3,male,11.0,0,0,18.7875,C,Third,child,False,no
732,0,2,male,,0,0,0.0,S,Second,man,True,no
733,0,2,male,23.0,0,0,13.0,S,Second,man,True,no
734,0,2,male,23.0,0,0,13.0,S,Second,man,True,no
735,0,3,male,28.5,0,0,16.1,S,Third,man,True,no
736,0,3,female,48.0,1,3,34.375,S,Third,woman,False,no
737,1,1,male,35.0,0,0,512.3292,C,First,man,True,yes
738,0,3,male,,0,0,7.8958,S,Third,man,True,no
739,0,3,male,,0,0,7.8958,S,Third,man,True,no
740,1,1,male,,0,0,30.0,S,First,man,True,yes
741,0,1,male,36.0,1,0,78.85,S,First,man,True,no
742,1,1,female,21.0,2,2,262.375,C,First,woman,False,yes
743,0,3,male,24.0,1,0,16.1,S,Third,man,True,no
744,1,3,male,31.0,0,0,7.925,S,Third,man,True,yes
745,0,1,male,70.0,1,1,71.0,S,First,man,True,no
746,0,3,male,16.0,1,1,20.25,S,Third,man,True,no
747,1,2,female,30.0,0,0,13.0,S,Second,woman,False,yes
748,0,1,male,19.0,1,0,53.1,S,First,man,True,no
749,0,3,male,31.0,0,0,7.75,Q,Third,man,True,no
750,1,2,female,4.0,1,1,23.0,S,Second,child,False,yes
751,1,3,male,6.0,0,1,12.475,S,Third,child,False,yes
752,0,3,male,33.0,0,0,9.5,S,Third,man,True,no
753,0,3,male,23.0,0,0,7.8958,S,Third,man,True,no
754,1,2,female,48.0,1,2,65.0,S,Second,woman,False,yes
755,1,2,male,0.67,1,1,14.5,S,Second,child,False,yes
756,0,3,male,28.0,0,0,7.7958,S,Third,man,True,no
757,0,2,male,18.0,0,0,11.5,S,Second,man,True,no
758,0,3,male,34.0,0,0,8.05,S,Third,man,True,no
759,1,1,female,33.0,0,0,86.5,S,First,woman,False,yes
760,0,3,male,,0,0,14.5,S,Third,man,True,no
761,0,3,male,41.0,0,0,7.125,S,Third,man,True,no
762,1,3,male,20.0,0,0,7.2292,C,Third,man,True,yes
763,1,1,female,36.0,1,2,120.0,S,First,woman,False,yes
764,0,3,male,16.0,0,0,7.775,S,Third,man,True,no
765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,yes
766,0,1,male,,0,0,39.6,C,First,man,True,no
767,0,3,female,30.5,0,0,7.75,Q,Third,woman,False,no
768,0,3,male,,1,0,24.15,Q,Third,man,True,no
769,0,3,male,32.0,0,0,8.3625,S,Third,man,True,no
770,0,3,male,24.0,0,0,9.5,S,Third,man,True,no
771,0,3,male,48.0,0,0,7.8542,S,Third,man,True,no
772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,no
773,0,3,male,,0,0,7.225,C,Third,man,True,no
774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,yes
775,0,3,male,18.0,0,0,7.75,S,Third,man,True,no
776,0,3,male,,0,0,7.75,Q,Third,man,True,no
777,1,3,female,5.0,0,0,12.475,S,Third,child,False,yes
778,0,3,male,,0,0,7.7375,Q,Third,man,True,no
779,1,1,female,43.0,0,1,211.3375,S,First,woman,False,yes
780,1,3,female,13.0,0,0,7.2292,C,Third,child,False,yes
781,1,1,female,17.0,1,0,57.0,S,First,woman,False,yes
782,0,1,male,29.0,0,0,30.0,S,First,man,True,no
783,0,3,male,,1,2,23.45,S,Third,man,True,no
784,0,3,male,25.0,0,0,7.05,S,Third,man,True,no
785,0,3,male,25.0,0,0,7.25,S,Third,man,True,no
786,1,3,female,18.0,0,0,7.4958,S,Third,woman,False,yes
787,0,3,male,8.0,4,1,29.125,Q,Third,child,False,no
788,1,3,male,1.0,1,2,20.575,S,Third,child,False,yes
789,0,1,male,46.0,0,0,79.2,C,First,man,True,no
790,0,3,male,,0,0,7.75,Q,Third,man,True,no
791,0,2,male,16.0,0,0,26.0,S,Second,man,True,no
792,0,3,female,,8,2,69.55,S,Third,woman,False,no
793,0,1,male,,0,0,30.6958,C,First,man,True,no
794,0,3,male,25.0,0,0,7.8958,S,Third,man,True,no
795,0,2,male,39.0,0,0,13.0,S,Second,man,True,no
796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,yes
797,1,3,female,31.0,0,0,8.6833,S,Third,woman,False,yes
798,0,3,male,30.0,0,0,7.2292,C,Third,man,True,no
799,0,3,female,30.0,1,1,24.15,S,Third,woman,False,no
800,0,2,male,34.0,0,0,13.0,S,Second,man,True,no
801,1,2,female,31.0,1,1,26.25,S,Second,woman,False,yes
802,1,1,male,11.0,1,2,120.0,S,First,child,False,yes
803,1,3,male,0.42,0,1,8.5167,C,Third,child,False,yes
804,1,3,male,27.0,0,0,6.975,S,Third,man,True,yes
805,0,3,male,31.0,0,0,7.775,S,Third,man,True,no
806,0,1,male,39.0,0,0,0.0,S,First,man,True,no
807,0,3,female,18.0,0,0,7.775,S,Third,woman,False,no
808,0,2,male,39.0,0,0,13.0,S,Second,man,True,no
809,1,1,female,33.0,1,0,53.1,S,First,woman,False,yes
810,0,3,male,26.0,0,0,7.8875,S,Third,man,True,no
811,0,3,male,39.0,0,0,24.15,S,Third,man,True,no
812,0,2,male,35.0,0,0,10.5,S,Second,man,True,no
813,0,3,female,6.0,4,2,31.275,S,Third,child,False,no
814,0,3,male,30.5,0,0,8.05,S,Third,man,True,no
815,0,1,male,,0,0,0.0,S,First,man,True,no
816,0,3,female,23.0,0,0,7.925,S,Third,woman,False,no
817,0,2,male,31.0,1,1,37.0042,C,Second,man,True,no
818,0,3,male,43.0,0,0,6.45,S,Third,man,True,no
819,0,3,male,10.0,3,2,27.9,S,Third,child,False,no
820,1,1,female,52.0,1,1,93.5,S,First,woman,False,yes
821,1,3,male,27.0,0,0,8.6625,S,Third,man,True,yes
822,0,1,male,38.0,0,0,0.0,S,First,man,True,no
823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,yes
824,0,3,male,2.0,4,1,39.6875,S,Third,child,False,no
825,0,3,male,,0,0,6.95,Q,Third,man,True,no
826,0,3,male,,0,0,56.4958,S,Third,man,True,no
827,1,2,male,1.0,0,2,37.0042,C,Second,child,False,yes
828,1,3,male,,0,0,7.75,Q,Third,man,True,yes
829,1,1,female,62.0,0,0,80.0,,First,woman,False,yes
830,1,3,female,15.0,1,0,14.4542,C,Third,child,False,yes
831,1,2,male,0.83,1,1,18.75,S,Second,child,False,yes
832,0,3,male,,0,0,7.2292,C,Third,man,True,no
833,0,3,male,23.0,0,0,7.8542,S,Third,man,True,no
834,0,3,male,18.0,0,0,8.3,S,Third,man,True,no
835,1,1,female,39.0,1,1,83.1583,C,First,woman,False,yes
836,0,3,male,21.0,0,0,8.6625,S,Third,man,True,no
837,0,3,male,,0,0,8.05,S,Third,man,True,no
838,1,3,male,32.0,0,0,56.4958,S,Third,man,True,yes
839,1,1,male,,0,0,29.7,C,First,man,True,yes
840,0,3,male,20.0,0,0,7.925,S,Third,man,True,no
841,0,2,male,16.0,0,0,10.5,S,Second,man,True,no
842,1,1,female,30.0,0,0,31.0,C,First,woman,False,yes
843,0,3,male,34.5,0,0,6.4375,C,Third,man,True,no
844,0,3,male,17.0,0,0,8.6625,S,Third,man,True,no
845,0,3,male,42.0,0,0,7.55,S,Third,man,True,no
846,0,3,male,,8,2,69.55,S,Third,man,True,no
847,0,3,male,35.0,0,0,7.8958,C,Third,man,True,no
848,0,2,male,28.0,0,1,33.0,S,Second,man,True,no
849,1,1,female,,1,0,89.1042,C,First,woman,False,yes
850,0,3,male,4.0,4,2,31.275,S,Third,child,False,no
851,0,3,male,74.0,0,0,7.775,S,Third,man,True,no
852,0,3,female,9.0,1,1,15.2458,C,Third,child,False,no
853,1,1,female,16.0,0,1,39.4,S,First,woman,False,yes
854,0,2,female,44.0,1,0,26.0,S,Second,woman,False,no
855,1,3,female,18.0,0,1,9.35,S,Third,woman,False,yes
856,1,1,female,45.0,1,1,164.8667,S,First,woman,False,yes
857,1,1,male,51.0,0,0,26.55,S,First,man,True,yes
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,yes
859,0,3,male,,0,0,7.2292,C,Third,man,True,no
860,0,3,male,41.0,2,0,14.1083,S,Third,man,True,no
861,0,2,male,21.0,1,0,11.5,S,Second,man,True,no
862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,yes
863,0,3,female,,8,2,69.55,S,Third,woman,False,no
864,0,2,male,24.0,0,0,13.0,S,Second,man,True,no
865,1,2,female,42.0,0,0,13.0,S,Second,woman,False,yes
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,yes
867,0,1,male,31.0,0,0,50.4958,S,First,man,True,no
868,0,3,male,,0,0,9.5,S,Third,man,True,no
869,1,3,male,4.0,1,1,11.1333,S,Third,child,False,yes
870,0,3,male,26.0,0,0,7.8958,S,Third,man,True,no
871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,yes
872,0,1,male,33.0,0,0,5.0,S,First,man,True,no
873,0,3,male,47.0,0,0,9.0,S,Third,man,True,no
874,1,2,female,28.0,1,0,24.0,C,Second,woman,False,yes
875,1,3,female,15.0,0,0,7.225,C,Third,child,False,yes
876,0,3,male,20.0,0,0,9.8458,S,Third,man,True,no
877,0,3,male,19.0,0,0,7.8958,S,Third,man,True,no
878,0,3,male,,0,0,7.8958,S,Third,man,True,no
879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,yes
880,1,2,female,25.0,0,1,26.0,S,Second,woman,False,yes
881,0,3,male,33.0,0,0,7.8958,S,Third,man,True,no
882,0,3,female,22.0,0,0,10.5167,S,Third,woman,False,no
883,0,2,male,28.0,0,0,10.5,S,Second,man,True,no
884,0,3,male,25.0,0,0,7.05,S,Third,man,True,no
885,0,3,female,39.0,0,5,29.125,Q,Third,woman,False,no
886,0,2,male,27.0,0,0,13.0,S,Second,man,True,no
887,1,1,female,19.0,0,0,30.0,S,First,woman,False,yes
888,0,3,female,,1,2,23.45,S,Third,woman,False,no
889,1,1,male,26.0,0,0,30.0,C,First,man,True,yes
890,0,3,male,32.0,0,0,7.75,Q,Third,man,True,no
